korean,japanese,pronunciation,category,level
안동,安東,アンドン,地名,中級
부산,釜山,プサン,地名,初級
인천,仁川,インチョン,地名,初級
대구,大邱,テグ,地名,初級
광주,光州,クァンジュ,地名,初級
대전,大田,テジョン,地名,初級
울산,蔚山,ウルサン,地名,中級
제주도,済州島,チェジュド,地名,初級
서울,ソウル,ソウル,地名,初級
경기도,京畿道,キョンギド,地名,初級
강원도,江原道,カンウォンド,地名,中級
충청도,忠清道,チュンチョンド,地名,中級
전라도,全羅道,チョルラド,地名,中級
경상도,慶尚道,キョンサンド,地名,中級
한국,韓国,ハングク,国名,初級
일본,日本,イルボン,国名,初級
중국,中国,チュングク,国名,初級
미국,アメリカ,ミグク,国名,初級
영국,イギリス,ヨングク,国名,初級
프랑스,フランス,プランスー,国名,初級
독일,ドイツ,トギル,国名,初級
이탈리아,イタリア,イタルリア,国名,初級
스페인,スペイン,スペイン,国名,初級
캐나다,カナダ,ケナダ,国名,初級
호주,オーストラリア,ホジュ,国名,初級
러시아,ロシア,ロシア,国名,初級
인도,インド,インド,国名,初級
베트남,ベトナム,ベトゥナム,国名,初級
태국,タイ,テグク,国名,初級
싱가포르,シンガポール,シンガポル,国名,初級
말레이시아,マレーシア,マルレイシア,国名,初級
필리핀,フィリピン,ピルリピン,国名,初級
인도네시아,インドネシア,インドネシア,国名,中級
브라질,ブラジル,ブラジル,国名,初級
멕시코,メキシコ,メクシコ,国名,初級
이집트,エジプト,イジプトゥ,国名,初級
남아프리카,南アフリカ,ナマプリカ,国名,中級
아시아,アジア,アシア,地理,初級
유럽,ヨーロッパ,ユロプ,地理,初級
북아메리카,北アメリカ,プガメリカ,地理,中級
남아메리카,南アメリカ,ナマメリカ,地理,中級
아프리카,アフリカ,アプリカ,地理,初級
호수,湖,ホス,地理,初級
강,川,カン,地理,初級
바다,海,パダ,地理,初級
산,山,サン,地理,初級
섬,島,ソム,地理,初級
숲,森,スプ,地理,初級
사막,砂漠,サマク,地理,中級
열대 우림,熱帯雨林,ヨルデ ウリム,地理,中級
해변,海辺,ヘビョン,地理,初級
동굴,洞窟,トングル,地理,中級
폭포,滝,ポクポ,地理,中級
계곡,渓谷,ケゴク,地理,中級
초원,草原,チョウォン,地理,中級
정상,頂上,チョンサン,地理,中級
경치,景色,キョンチ,地理,初級
방향,方向,パンヒャン,地理,初級
북쪽,北,プクッチョク,地理,初級
남쪽,南,ナムッチョク,地理,初級
동쪽,東,トンッチョク,地理,初級
서쪽,西,ソッチョク,地理,初級
공항,空港,コンハン,交通,初級
역,駅,ヨク,交通,初級
터미널,ターミナル,トミノル,交通,初級
항구,港,ハング,交通,中級
비행기,飛行機,ピヘンギ,交通,初級
기차,電車,キチャ,交通,初級
지하철,地下鉄,チハチョル,交通,初級
버스,バス,ポス,交通,初級
택시,タクシー,テクシ,交通,初級
자동차,自動車,チャドンチャ,交通,初級
오토바이,バイク,オトバイ,交通,初級
자전거,自転車,チャジョンゴ,交通,初級
배,船,ペ,交通,初級
여객선,フェリー,ヨゲクソン,交通,中級
크루즈,クルーズ,クルジュ,交通,中級
티켓,チケット,ティケッ,交通,初級
예약,予約,イェヤク,交通,初級
출발,出発,チュルバル,交通,初級
도착,到着,トチャク,交通,初級
환승,乗り換え,ファンスン,交通,初級
요금,料金,ヨグム,交通,初級
거리,距離,コリ,交通,初級
교통 카드,交通カード,キョトン カドゥ,交通,初級
도로,道路,トロ,交通,初級
고속도로,高速道路,コソクトロ,交通,初級
신호등,信号機,シノドゥン,交通,初級
횡단보도,横断歩道,フェンダンボド,交通,初級
과일,果物,クァイル,食品,初級
사과,りんご,サグァ,食品,初級
배,梨,ペ,食品,初級
귤,みかん,キュル,食品,初級
오렌지,オレンジ,オレンジ,食品,初級
포도,ぶどう,ポド,食品,初級
딸기,いちご,ッタルギ,食品,初級
바나나,バナナ,バナナ,食品,初級
수박,スイカ,スバク,食品,初級
참외,マクワウリ,チャムウェ,食品,初級
멜론,メロン,メロン,食品,初級
파인애플,パイナップル,パインエプル,食品,初級
망고,マンゴー,マンゴ,食品,初級
키위,キウイ,キウィ,食品,初級
복숭아,桃,ポクスンア,食品,初級
체리,サクランボ,チェリ,食品,初級
매실,梅,メシル,食品,중급
레몬,レモン,レモン,食品,初級
야채,野菜,ヤチェ,食品,初級
당근,にんじん,タングン,食品,初級
양파,たまねぎ,ヤンパ,食品,初級
감자,じゃがいも,カムジャ,食品,初級
고구마,さつまいも,コグマ,食品,初級
무,大根,ム,食品,初級
배추,白菜,ペチュ,食品,初級
시금치,ほうれん草,シグムチ,食品,初級
오이,きゅうり,オイ,食品,初級
토마토,トマト,トマト,食品,初級
가지,なす,カジ,食品,初級
피망,ピーマン,ピマン,食品,初級
고추,唐辛子,コチュ,食品,初級
마늘,にんにく,マヌル,食品,初級
생강,しょうが,センガン,食品,中級
파,ねぎ,パ,食品,初級
버섯,キノコ,ポソッ,食品,初級
콩,豆,コン,食品,初級
쌀,米,ッサル,食品,初級
패스트푸드,ファストフード,ペストゥプドゥ,食品,初級
햄버거,ハンバーガー,ヘムボゴ,食品,初級
피자,ピザ,ピジャ,食品,初級
치킨,フライドチキン,チキン,食品,初級
감사,感謝,カムサ,抽象,初級
행복,幸福,ヘンボク,抽象,初級
슬픔,悲しみ,スルプム,抽象,初級
분노,怒り,プンノ,抽象,中級
기쁨,喜び,キプム,抽象,初級
두려움,恐れ,トゥリョウム,抽象,中級
사랑,愛,サラン,抽象,初級
우정,友情,ウジョン,抽象,初級
평화,平和,ピョンファ,抽象,初級
자유,自由,チャユ,抽象,初級
정의,正義,チョンウィ,抽象,中級
희망,希望,フィマン,抽象,初級
꿈,夢,ックム,抽象,初級
생각,考え,センガク,抽象,初級
아이디어,アイデア,アイディオ,抽象,初級
상상,想像,サンサン,抽象,初級
기억,記憶,キオク,抽象,初級
지식,知識,チシク,抽象,初級
지혜,知恵,チフェ,抽象,初級
진실,真実,チンシル,抽象,初級
거짓,偽り,コジッ,抽象,初級
비밀,秘密,ピミル,抽象,初級
시작,始まり,シジャク,抽象,初級
끝,終わり,ックッ,抽象,初級
변화,変化,ビョンファ,抽象,初級
성공,成功,ソンゴン,抽象,初級
실패,失敗,シルペ,抽象,初級
문화,文化,ムンファ,抽象,初級
전통,伝統,チョントン,抽象,初級
역사,歴史,ヨクサ,抽象,初級
미래,未来,ミレ,抽象,初級
하늘,空,ハヌル,自然,初級
땅,地面,ッタン,自然,初級
태양,太陽,テヤン,自然,初級
달,月,タル,自然,初級
별,星,ビョル,自然,初級
우주,宇宙,ウジュ,自然,初級
흙,土,フルク,自然,初級
물,水,ムル,自然,初級
불,火,プル,自然,初級
바람,風,パラム,自然,初級
소리,音,ソリ,自然,初級
빛,光,ピッ,自然,初級
그림자,影,クリムジャ,自然,初級
무지개,虹,ムジゲ,自然,初級
안개,霧,アンゲ,自然,初級
번개,稲妻,ポンゲ,自然,初級
천둥,雷,チョンドゥン,自然,初級
 
