korean,japanese,pronunciation,category,level
집,家,チプ,住居,初級
아파트,アパート,アパトゥ,住居,初級
방,部屋,パン,住居,初級
부엌,キッチン,プオク,住居,初級
화장실,トイレ,ファジャンシル,住居,初級
욕실,お風呂,ヨクシル,住居,初級
거실,リビング,コシル,住居,初級
창문,窓,チャンムン,住居,初級
문,ドア,ムン,住居,初級
벽,壁,ピョク,住居,初級
천장,天井,チョンジャン,住居,初級
바닥,床,パダク,住居,初級
계단,階段,ケダン,住居,初級
엘리베이터,エレベーター,エルリベイト,住居,初級
냉장고,冷蔵庫,ネンジャンゴ,家電,初級
세탁기,洗濯機,セタクキ,家電,初級
에어컨,エアコン,エオコン,家電,初級
텔레비전,テレビ,テレビジョン,家電,初級
컴퓨터,コンピューター,コンピュト,家電,初級
전화기,電話,チョンファギ,家電,初級
스마트폰,スマートフォン,スマトゥポン,家電,初級
청소기,掃除機,チョンソギ,家電,初級
밥솥,炊飯器,パプソッ,家電,初級
전자레인지,電子レンジ,チョンジャレインジ,家電,初級
식탁,食卓,シクタク,家具,初級
의자,椅子,ウィジャ,家具,初級
소파,ソファ,ソパ,家具,初級
침대,ベッド,チムデ,家具,初級
책상,机,チェクサン,家具,初級
책장,本棚,チェクチャン,家具,初級
옷장,クローゼット,オッチャン,家具,初級
서랍,引き出し,ソダプ,家具,初級
거울,鏡,コウル,家具,初級
시계,時計,シゲ,家具,初級
전등,照明,チョンドゥン,家具,初級
커튼,カーテン,コトゥン,家具,初級
카펫,カーペット,カペッ,家具,初級
화분,植木鉢,ファブン,家具,初級
옷,服,オッ,衣類,初級
셔츠,シャツ,ショチュ,衣類,初級
바지,ズボン,パジ,衣類,初級
치마,スカート,チマ,衣類,初級
원피스,ワンピース,ウォンピスー,衣類,初級
자켓,ジャケット,チャケッ,衣類,初級
코트,コート,コトゥ,衣類,初級
티셔츠,Tシャツ,ティショチュ,衣類,初級
니트,ニット,ニトゥ,衣類,初級
정장,スーツ,チョンジャン,衣類,初級
잠옷,パジャマ,チャモッ,衣類,初級
속옷,下着,ソゴッ,衣類,初級
양말,靴下,ヤンマル,衣類,初級
모자,帽子,モジャ,衣類,初級
목도리,マフラー,モクトリ,衣類,初級
장갑,手袋,チャンガプ,衣類,初級
신발,靴,シンバル,衣類,初級
운동화,スニーカー,ウンドンファ,衣類,初級
샌들,サンダル,センドゥル,衣類,初級
구두,革靴,クドゥ,衣類,初級
우산,傘,ウサン,衣類,初級
가방,バッグ,カバン,衣類,初級
지갑,財布,チガプ,衣類,初級
시간표,時間割,シガンピョ,学習,初級
숙제,宿題,スクチェ,学習,初級
시험,試験,シホム,学習,初級
성적,成績,ソンジョク,学習,初級
교과서,教科書,キョグァソ,学習,初級
노트,ノート,ノトゥ,学習,初級
연필,鉛筆,ヨンピル,学習,初級
볼펜,ボールペン,ボルペン,学習,初級
지우개,消しゴム,チウゲ,学習,初級
칠판,黒板,チルパン,学習,初級
수업,授業,スオプ,学習,初級
예습,予習,イェスプ,学習,初級
복습,復習,ポクスプ,学習,初級
문제,問題,ムンジェ,学習,初級
답,答え,タプ,学習,初級
질문,質問,チルムン,学習,初級
대답,返事,テダプ,学習,初級
설명,説明,ソルミョン,学習,初級
발표,発表,パルピョ,学習,初級
외국어,外国語,ウェグゴ,学習,初級
한국어,韓国語,ハングゴ,学習,初級
일본어,日本語,イルボノ,学習,初級
영어,英語,ヨンオ,学習,初級
중국어,中国語,チュンググォ,学習,初級
불어,フランス語,プロ,学習,初級
독일어,ドイツ語,トギロ,学習,初級
스페인어,スペイン語,スペイノ,学習,初級
러시아어,ロシア語,ロシアオ,学習,初級
문법,文法,ムンポプ,学習,初級
어휘,語彙,オフィ,学習,初級
발음,発音,パルム,学習,初級
회화,会話,フェファ,学習,初級
듣기,リスニング,トゥッキ,学習,初級
말하기,スピーキング,マラギ,学習,初級
읽기,リーディング,イルギ,学習,初級
쓰기,ライティング,ッスギ,学習,初級
번역,翻訳,ポニョク,学習,初級
통역,通訳,トンヨク,学習,初級
언어,言語,オノ,学習,初級
단어,単語,タノ,学習,初級
문장,文章,ムンジャン,学習,初級
글자,文字,クルジャ,学習,初級
한글,ハングル,ハングル,学習,初級
한자,漢字,ハンジャ,学習,初級
가타카나,カタカナ,カタカナ,学習,初級
히라가나,ひらがな,ヒラガナ,学習,初級
알파벳,アルファベット,アルパベッ,学習,初級
책,本,チェク,学習,初級
잡지,雑誌,チャプチ,学習,初級
신문,新聞,シンムン,学習,初級
사전,辞書,サジョン,学習,初級
컴퓨터,コンピューター,コンピュト,IT,初級
인터넷,インターネット,インタネッ,IT,初級
이메일,メール,イメイル,IT,初級
웹사이트,ウェブサイト,ウェプサイトゥ,IT,初級
홈페이지,ホームページ,ホムペイジ,IT,初級
블로그,ブログ,ブルログ,IT,初級
검색,検索,コムセク,IT,初級
다운로드,ダウンロード,ダウンロドゥ,IT,初級
업로드,アップロード,オプロドゥ,IT,初級
파일,ファイル,パイル,IT,初級
폴더,フォルダ,ポルド,IT,初級
비밀번호,パスワード,ピミルボノ,IT,初級
아이디,ID,アイディ,IT,初級
로그인,ログイン,ログイン,IT,初級
가입,登録,カイプ,IT,初級
소프트웨어,ソフトウェア,ソプトゥウェア,IT,初級
하드웨어,ハードウェア,ハドゥウェア,IT,初級
키보드,キーボード,キボドゥ,IT,初級
마우스,マウス,マウスー,IT,初級
모니터,モニター,モニト,IT,初級
프린터,プリンター,プリント,IT,初級
스캐너,スキャナー,スキャノ,IT,初級
충전기,充電器,チュンジョンギ,IT,初級
배터리,バッテリー,ベトリ,IT,初級
프로그램,プログラム,プログラム,IT,初級
앱,アプリ,アプ,IT,初級
게임,ゲーム,ケイム,IT,初級
무선,無線,ムソン,IT,初級
와이파이,Wi-Fi,ワイパイ,IT,初級
블루투스,Bluetooth,ブルトゥスー,IT,初級
웹캠,ウェブカメラ,ウェプケム,IT,初級
스피커,スピーカー,スピコ,IT,初級
헤드폰,ヘッドフォン,ヘドゥポン,IT,初級
이어폰,イヤホン,イオポン,IT,初級
마이크,マイク,マイクー,IT,初級
영화,映画,ヨンファ,趣味,初級
드라마,ドラマ,ドゥラマ,趣味,初級
예능,バラエティ,イェヌン,趣味,初級
