korean,japanese,pronunciation,category,level
공부하다,勉強する,コンブハダ,一般,初級
직원,従業員,チクウォン,ビジネス,初級
건물,建物,コンムル,場所,初級
거리,距離・通り,コリ,場所,初級
주변,周辺,チュビョン,場所,初級
동네,近所,トンネ,場所,初級
지하철,地下鉄,チハチョル,交通,初級
버스,バス,ボス,交通,初級
택시,タクシー,テクシ,交通,初級
기차,列車,キチャ,交通,初級
운전하다,運転する,ウンジョンハダ,交通,初級
여행,旅行,ヨヘン,一般,初級
여권,パスポート,ヨグォン,旅行,初級
호텔,ホテル,ホテル,旅行,初級
숙소,宿泊施設,スクソ,旅行,初級
길,道,キル,場所,初級
공원,公園,コンウォン,場所,初級
바다,海,パダ,自然,初級
산,山,サン,自然,初級
날씨,天気,ナルッシ,自然,初級
비,雨,ピ,自然,初級
눈,雪,ヌン,自然,初級
햇볕,日差し,ヘッピョッ,自然,初級
바람,風,パラム,自然,初級
꽃,花,ッコッ,自然,初級
나무,木,ナム,自然,初級
동물,動物,トンムル,動物,初級
과일,果物,クァイル,食べ物,初級
채소,野菜,チェソ,食べ物,初級
고기,肉,コギ,食べ物,初級
생선,魚,センソン,食べ物,初級
쌀,お米,ッサル,食べ物,初級
빵,パン,ッパン,食べ物,初級
커피,コーヒー,コピ,飲み物,初級
차,お茶,チャ,飲み物,初級
물,水,ムル,飲み物,初級
주스,ジュース,チュス,飲み物,初級
맥주,ビール,メクチュ,飲み物,初級
포도주,ワイン,ポドジュ,飲み物,初級
술,お酒,スル,飲み物,初級
돈,お金,トン,経済,初級
지갑,財布,チガプ,一般,初級
은행,銀行,ウンヘン,経済,初級
카드,カード,カドゥ,経済,初級
현금,現金,ヒョングム,経済,初級
값,価格,カプ,経済,初級
싸다,安い,ッサダ,形容詞,初級
비싸다,高い,ピッサダ,形容詞,初級
수표,小切手,スピョ,経済,中級
대출,ローン,テチュル,経済,中級
투자,投資,トゥジャ,経済,中級
주식,株式,チュシク,経済,中級
저축,貯金,チョチュク,経済,中級
환율,為替レート,ファンニュル,経済,中級
인플레이션,インフレ,インプレイション,経済,中級
경제,経済,キョンジェ,経済,中級
시장,市場,シジャン,経済,中級
수요,需要,スヨ,経済,中級
공급,供給,コンギュプ,経済,中級
회사,会社,フェサ,ビジネス,初級
직장,職場,チクチャン,ビジネス,初級
사무실,オフィス,サムシル,ビジネス,初級
회의,会議,フェイ,ビジネス,初級
동료,同僚,トンリョ,ビジネス,初級
상사,上司,サンサ,ビジネス,初級
부하,部下,プハ,ビジネス,初級
이력서,履歴書,イリョクソ,ビジネス,初級
면접,面接,ミョンジョプ,ビジネス,初級
승진,昇進,スンジン,ビジネス,中級
퇴직,退職,テジク,ビジネス,中級
고용,雇用,コヨン,ビジネス,中級
해고,解雇,ヘゴ,ビジネス,中級
급여,給与,キュピョ,ビジネス,初級
보너스,ボーナス,ポノス,ビジネス,中級
계약,契約,キェヤク,ビジネス,中級
협상,交渉,ヒョプサン,ビジネス,中級
성공,成功,ソンゴン,ビジネス,初級
실패,失敗,シルペ,ビジネス,初級
보고서,報告書,ポゴソ,ビジネス,中級
발표,発表,パルピョ,ビジネス,初級
프로젝트,プロジェクト,プロジェクトゥ,ビジネス,中級
마케팅,マーケティング,マケティング,ビジネス,中級
광고,広告,クァンゴ,ビジネス,中級
고객,顧客,コゲク,ビジネス,初級
서비스,サービス,ソビス,ビジネス,初級
판매,販売,パンメ,ビジネス,中級
가격,価格,カギョク,経済,初級
할인,割引,ハリン,経済,初級
비용,費用,ピヨン,経済,中級
예산,予算,イェサン,経済,中級
이익,利益,イイク,経済,中級
손실,損失,ソンシル,経済,中級
세금,税金,セグム,経済,初級
수입,輸入/収入,スイプ,経済,中級
수출,輸出,スチュル,経済,中級
무역,貿易,ムエク,経済,中級
법,法律,ポプ,法律,初級
법원,裁判所,ポプウォン,法律,中級
판사,裁判官,パンサ,法律,中級
변호사,弁護士,ピョノサ,法律,中級
계약서,契約書,キェヤクソ,法律,中級
소송,訴訟,ソソン,法律,中級
범죄,犯罪,ポムジェ,法律,中級
경찰,警察,キョンチャル,法律,初級
정부,政府,チョンブ,政治,初級
정치,政治,チョンチ,政治,中級
대통령,大統領,テトンリョン,政治,初級
국회,国会,クッフェ,政治,中級
선거,選挙,ソンゴ,政治,中級
투표,投票,トゥピョ,政治,初級
외교,外交,ウェギョ,政治,中級
국제,国際,クッチェ,国際,中級
나라,国,ナラ,国際,初級
국가,国家,クッカ,国際,中級
외국,外国,ウェグク,国際,初級
세계,世界,セゲ,国際,初級
문화,文化,ムンファ,文化,初級
전통,伝統,チョントン,文化,中級
예술,芸術,イェスル,文化,中級
역사,歴史,ヨクサ,文化,初級
유산,遺産,ユサン,文化,中級
관습,慣習,クァンスプ,文化,中級
종교,宗教,チョンギョ,宗教,初級
신앙,信仰,シナン,宗教,中級
신,神,シン,宗教,中級
영혼,霊魂,ヨンホン,宗教,中級
기도,祈り,キド,宗教,初級
축복,祝福,チュクポク,宗教,中級
교회,教会,キョフェ,宗教,初級
절,お寺,チョル,宗教,初級
사원,寺院,サウォン,宗教,中級
교육,教育,キョユク,教育,初級
학교,学校,ハッキョ,教育,初級
학생,学生,ハクセン,教育,初級
선생님,先生,ソンセンニム,教育,初級
교수,教授,キョス,教育,初級
수업,授業,スオプ,教育,初級
과목,科目,クァモク,教育,初級
시험,試験,シホム,教育,初級
숙제,宿題,スクチェ,教育,初級
대학교,大学,テハッキョ,教育,初級
고등학교,高校,コドゥンハッキョ,教育,初級
중학교,中学校,チュンハッキョ,教育,初級
초등학교,小学校,チョドゥンハッキョ,教育,初級
유치원,幼稚園,ユチウォン,教育,初級
연구,研究,ヨング,教育,中級
발견,発見,パルギョン,教育,中級
지식,知識,チシク,教育,中級
정보,情報,チョンボ,情報,初級
